"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"-1","1.0","0.0","","Cosine","cosine","1.0","1520 (-) 1520","1.0","false","cosine","1520 (-) 1520","motif_39","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_39","Mass2Motif","motif_39","1.0","1520 (-) 1520","1.0","false","motif_39","1520 (-) 1520","motif_39","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","1521 (-) 1521","1.0","false","cosine","1521 (-) 1521","","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","1522 (-) 1522","1.0","false","cosine","1522 (-) 1522","motif_170","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_170","Mass2Motif","motif_170","1.0","1522 (-) 1522","1.0","false","motif_170","1522 (-) 1522","motif_170","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","1524 (-) 1524","1.0","false","cosine","1524 (-) 1524","","motif_142,motif_89,motif_51,motif_132,motif_97"
"120","0.8672","-4.9910000000000005","","Cosine","cosine","1526.0","1526 (-) 1536","1526.0","false","cosine","1526 (-) 1536","motif_37","motif_37"
"120","0.8672","-4.9910000000000005","motif_37","Mass2Motif","motif_37","1526.0","1526 (-) 1536","1526.0","false","motif_37","1526 (-) 1536","motif_37","motif_37"
"120","0.9304","-383.12800000000004","","Cosine","cosine","1526.0","1526 (-) 1994","1526.0","false","cosine","1526 (-) 1994","motif_37","motif_37"
"120","0.9304","-383.12800000000004","motif_37","Mass2Motif","motif_37","1526.0","1526 (-) 1994","1526.0","false","motif_37","1526 (-) 1994","motif_37","motif_37"
"120","0.8035","-185.12","","Cosine","cosine","1526.0","1526 (-) 1883","1526.0","false","cosine","1526 (-) 1883","motif_37","motif_37"
"120","0.8035","-185.12","motif_37","Mass2Motif","motif_37","1526.0","1526 (-) 1883","1526.0","false","motif_37","1526 (-) 1883","motif_37","motif_37"
"120","0.9148","-489.18800000000005","","Cosine","cosine","1526.0","1526 (-) 2092","1526.0","false","cosine","1526 (-) 2092","motif_37","motif_37"
"120","0.9148","-489.18800000000005","motif_37","Mass2Motif","motif_37","1526.0","1526 (-) 2092","1526.0","false","motif_37","1526 (-) 2092","motif_37","motif_37"
"470","0.7977","-88.052","","Cosine","cosine","1528.0","1528 (-) 1731","1528.0","false","cosine","1528 (-) 1731","","None"
"32","0.9477","-44.145","","Cosine","cosine","1529.0","1529 (-) 1626","1529.0","false","cosine","1529 (-) 1626","motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9477","-44.145","motif_130","Mass2Motif","motif_130","1529.0","1529 (-) 1626","1529.0","false","motif_130","1529 (-) 1626","motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9795","-83.962","","Cosine","cosine","1529.0","1529 (-) 1725","1529.0","false","cosine","1529 (-) 1725","motif_47,motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9795","-83.962","motif_47","Mass2Motif","motif_47","1529.0","1529 (-) 1725","1529.0","false","motif_47","1529 (-) 1725","motif_47,motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9795","-83.962","motif_130","Mass2Motif","motif_130","1529.0","1529 (-) 1725","1529.0","false","motif_130","1529 (-) 1725","motif_47,motif_130","motif_130,motif_137,motif_166,motif_47,motif_170"
